Target_Class;p_tag_count;comma_count;colon_count;hyphen_count;TTR;Compound;Positive;Neutral;Negative;FleschK_score;CC;PRP;PRP$;IN;NNP;period_count
Literary;3098;9886;246;2600;0.1416578735025759;1.0;0.214;0.667;0.11900000000000001;42.318401817299424;42.0;16.0;3.0;1610.0;25.0;796422
Literary;2476;8781;177;1703;0.1600618049661596;1.0;0.226;0.616;0.158;46.44676630645012;36.0;18.0;3.0;1430.0;13.0;564023
Literary;1852;4082;67;821;0.21809258854052704;1.0;0.222;0.6559999999999999;0.122;42.90210404841096;26.0;8.0;2.0;653.0;111.0;400514
Literary;1493;15184;193;757;0.12158283031522467;1.0;0.247;0.6409999999999999;0.11199999999999999;42.13569960082694;79.0;14.0;15.0;2017.0;29.0;940032
Literary;1875;5869;83;595;0.15392548236859613;1.0;0.222;0.652;0.126;40.18525371562058;18.0;6.0;2.0;776.0;15.0;392076
Literary;2251;9055;52;1134;0.12841329836470225;1.0;0.218;0.643;0.138;54.50748846478672;58.0;13.0;5.0;1611.0;30.0;648497
Literary;1191;5738;30;1383;0.17952672161659133;1.0;0.242;0.648;0.11;34.06997978175877;34.0;4.0;1.0;897.0;39.0;476532
Literary;541;2862;70;207;0.24710227996433576;1.0;0.261;0.597;0.14300000000000002;43.82729691149018;6.0;4.0;2.0;324.0;12.0;189449
Literary;3118;5315;47;1209;0.14688723520107866;1.0;0.18899999999999997;0.659;0.152;56.43891711144797;21.0;7.0;2.0;757.0;30.0;492469
Literary;2492;8208;121;1888;0.1563164881526068;1.0;0.21;0.653;0.13699999999999998;51.06233481146634;31.0;10.0;2.0;1286.0;26.0;674070
Literary;2586;6398;99;1564;0.1897893672221978;1.0;0.233;0.638;0.129;41.66446332456556;26.0;13.0;1.0;926.0;17.0;569136
Literary;1415;6465;37;1528;0.16119947514961436;1.0;0.255;0.5920000000000001;0.153;48.514716407554296;58.0;8.0;0.0;767.0;5.0;388968
Love and Romance;614;3245;52;723;0.1999516294818308;1.0;0.251;0.614;0.135;55.49285962759001;38.0;5.0;1.0;417.0;1.0;201527
Literary;1357;7431;130;1108;0.14397989393197164;1.0;0.171;0.7020000000000001;0.126;52.35735781906593;29.0;7.0;2.0;1364.0;28.0;554499
Literary;4235;10496;349;4208;0.14523801972661826;1.0;0.23199999999999998;0.645;0.12300000000000001;44.532498382478316;64.0;11.0;3.0;1506.0;21.0;804253
Literary;2240;4807;97;3016;0.14922066830361908;1.0;0.24100000000000002;0.629;0.13;58.7474287265296;20.0;9.0;3.0;989.0;24.0;457751
Literary;1416;4435;11;873;0.2046942645532935;1.0;0.203;0.66;0.13699999999999998;48.72334814045297;18.0;8.0;0.0;686.0;6.0;347716
Literary;3423;5698;22;1277;0.15134811563115755;1.0;0.23600000000000002;0.629;0.135;54.63358644258889;26.0;21.0;0.0;1032.0;30.0;512912
Literary;2154;11696;209;1349;0.176452046385852;1.0;0.177;0.7040000000000001;0.11900000000000001;34.56749167398832;40.0;20.0;1.0;1371.0;25.0;742127
Literary;2398;4443;97;1258;0.17215021601861086;1.0;0.22699999999999998;0.679;0.094;38.38281651097173;24.0;4.0;3.0;574.0;26.0;363110
Literary;1734;4335;6;692;0.1958431015780818;1.0;0.20600000000000002;0.652;0.142;37.95513410772986;18.0;9.0;3.0;627.0;7.0;378982
Literary;1514;9570;69;1888;0.2100907056757212;1.0;0.225;0.638;0.13699999999999998;40.73463122410615;32.0;11.0;1.0;1061.0;13.0;512416
Literary;2051;2734;33;1156;0.2120643317264622;1.0;0.24;0.629;0.131;55.529393462252386;32.0;5.0;1.0;442.0;14.0;289033
Literary;128;1314;21;475;0.3068208638187397;1.0;0.303;0.557;0.14;42.69122893556764;8.0;2.0;0.0;181.0;4.0;100540
Literary;565;1557;50;238;0.22505146819807129;1.0;0.278;0.5670000000000001;0.155;61.55177713639912;12.0;5.0;0.0;188.0;6.0;109986
Literary;590;1645;17;199;0.24333859437378144;1.0;0.312;0.555;0.134;53.870808811039275;9.0;1.0;1.0;243.0;1.0;133019
Literary;555;1712;28;325;0.2244543171721074;1.0;0.268;0.5660000000000001;0.165;65.76179511702836;12.0;1.0;0.0;215.0;3.0;122536
Literary;1003;5299;82;676;0.17086544161232958;1.0;0.23600000000000002;0.619;0.146;50.26456944548272;9.0;4.0;4.0;640.0;9.0;330439
Literary;2852;17322;672;1408;0.09733068665604512;1.0;0.231;0.638;0.131;60.91072391473117;78.0;24.0;18.0;2132.0;72.0;938485
Literary;4486;16231;51;2100;0.10094101985147287;1.0;0.253;0.636;0.111;54.10044235084487;104.0;24.0;14.0;1679.0;23.0;961823
Literary;120;339;3;88;0.5040567951318459;0.9998;0.23800000000000002;0.648;0.114;57.87358971547613;1.0;;3.0;44.0;3.0;22968
Literary;3282;17993;594;1771;0.09558169541633783;1.0;0.198;0.682;0.12;60.37743981334299;66.0;9.0;3.0;2414.0;36.0;1014170
Literary;1968;5501;36;808;0.1567747026968188;1.0;0.254;0.6409999999999999;0.105;31.98612385544933;20.0;3.0;0.0;835.0;17.0;479038
Literary;4243;12955;133;2385;0.1142171720799276;1.0;0.262;0.638;0.10099999999999999;52.04517818366879;48.0;18.0;3.0;1924.0;27.0;834585
Literary;3011;8601;201;2501;0.12552201597408574;0.9999;0.179;0.65;0.171;57.76201876040562;41.0;21.0;4.0;1443.0;33.0;774728
Literary;2006;4119;50;550;0.20788153971265927;1.0;0.25;0.631;0.11900000000000001;49.839385139001855;38.0;7.0;2.0;662.0;23.0;368868
Literary;3450;9003;437;5578;0.14552641558971965;1.0;0.222;0.625;0.153;44.31595387305995;65.0;20.0;5.0;1524.0;29.0;844195
Literary;1840;4125;51;1145;0.20384457838375564;1.0;0.18899999999999997;0.7020000000000001;0.10800000000000001;49.72782772985397;14.0;7.0;4.0;708.0;12.0;412352
