guten_genre,p_tag_count,comma_count,colon_count,hyphen_count,TTR,Positive,Neutral,Negative,FleschK_score,CC,PRP,PRP$,IN,NNP,period_count
Literary,2821,2622,100,1523,0.171,0.230,0.628,0.142,60.539,17,4,0,622,14,368663
Literary,510,1839,52,107,0.323,0.260,0.546,0.193,40.111,3,1,0,244,4,119122
Literary,3050,6035,67,1167,0.147,0.192,0.695,0.113,52.593,33,13,2,1188,31,565935
Literary,2746,10783,84,1613,0.124,0.203,0.675,0.122,52.794,77,27,5,1812,24,856621
Literary,1079,4366,118,481,0.213,0.266,0.595,0.139,35.992,15,4,1,844,10,300791
Literary,1758,4561,11,701,0.158,0.276,0.608,0.116,59.545,55,23,7,623,24,409239
Love and Romance,3754,6770,149,2553,0.151,0.229,0.638,0.132,46.239,40,7,8,1250,18,648930
Literary,2027,7175,48,1543,0.156,0.183,0.723,0.094,62.317,38,17,5,1456,40,501935
Literary,497,3850,418,951,0.285,0.278,0.581,0.141,44.213,11,6,0,435,4,199104
Literary,1740,7746,41,1146,0.147,0.245,0.631,0.124,53.065,48,11,5,1008,27,509565
Literary,2441,13403,470,932,0.116,0.206,0.652,0.142,55.452,63,9,2,1706,26,723563
Literary,1561,5543,175,448,0.171,0.236,0.588,0.176,43.851,23,1,0,787,12,388109
Literary,1992,6066,59,1372,0.180,0.234,0.637,0.129,48.661,21,1,0,584,9,383190
Literary,1866,8153,160,1533,0.183,0.217,0.640,0.144,35.776,27,15,5,928,23,536059
Literary,207,734,11,164,0.440,0.233,0.639,0.129,45.414,3,,0,111,1,57700
Literary,2181,9801,46,1388,0.120,0.214,0.648,0.138,47.590,44,11,4,1980,36,745306
Literary,1604,6200,11,1298,0.180,0.222,0.648,0.13,48.196,33,11,5,992,6,510234
Literary,1783,3891,20,632,0.191,0.159,0.704,0.137,54.242,12,2,2,914,10,322372
Literary,1868,12759,50,2067,0.117,0.213,0.662,0.125,49.979,43,10,1,1233,17,713792
Literary,4254,10507,434,1971,0.106,0.185,0.665,0.15,54.746,70,10,6,1581,51,834484
Literary,1318,5769,30,608,0.188,0.229,0.637,0.134,50.850,45,9,2,770,7,364618
Literary,3123,6903,15,827,0.132,0.189,0.698,0.113,59.650,33,11,1,947,34,552139
Literary,2037,7661,67,1056,0.151,0.267,0.539,0.194,43.663,32,4,9,1212,7,558823
Literary,2496,6972,45,1935,0.172,0.254,0.607,0.139,53.878,28,7,2,659,22,428751
Detective and Mystery,1788,1374,126,120,0.244,0.174,0.686,0.14,57.122,8,1,0,197,30,144533
Literary,2042,3672,91,667,0.172,0.221,0.633,0.147,61.640,16,6,0,582,59,294551
Detective and Mystery,2365,6009,20,826,0.140,0.192,0.697,0.111,50.598,45,6,0,1114,23,465199
Literary,3533,12059,253,1038,0.099,0.259,0.630,0.111,58.935,58,10,4,1545,20,853994
Sea and Adventure,1564,5746,16,914,0.177,0.226,0.634,0.14,54.458,22,7,7,852,34,499644
Literary,1297,3339,77,1557,0.189,0.271,0.612,0.117,49.828,14,4,0,597,8,310849
Literary,747,6354,577,1631,0.239,0.246,0.579,0.176,49.691,31,9,1,649,9,331889
Literary,1386,6509,90,1332,0.209,0.215,0.623,0.162,47.171,46,5,1,983,25,471684
Literary,2422,5925,141,2052,0.168,0.207,0.658,0.135,43.732,33,9,3,1443,27,696854
Literary,1657,9257,117,668,0.180,0.215,0.668,0.117,35.286,32,3,1,1045,39,560926
Literary,302,1564,9,207,0.361,0.189,0.686,0.125,36.600,11,5,1,249,6,116235
